description,price,rating,review_count,url
Womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-33-877-28-38/dp/B08142K9NV/ref=sr_1_73?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-73
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Black-Fashion-Sandals-35-2980/dp/B08DRFF3S1/ref=sr_1_74?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-74
Men Leather Sandals (16-270),,,,https://www.amazon.in/Mochi-White-Leather-Sandals-16-270-16-41/dp/B08XMDCWKM/ref=sr_1_75?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-75
Men Leather Sandals (16-371),,,,https://www.amazon.in/Mochi-Maroon-Leather-Sandals-16-371-44-41/dp/B08RX34535/ref=sr_1_76?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-76
Girls Fashion Sandals,,,,https://www.amazon.in/Mochi-Tan-Fashion-Sandals-33-761/dp/B08FXQCJ1C/ref=sr_1_77?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-77
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-4-32-374/dp/B07P792XYD/ref=sr_1_78?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-78
Women's Black Fashion,,,,https://www.amazon.in/Mochi-Synthetic-Sandals-EURO40-33-227-11-40-BLACK/dp/B07BK78NG6/ref=sr_1_79?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-79
Womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Beige-Fashion-Sandals-33-942/dp/B08CR3D498/ref=sr_1_80?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-80
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Women-Synthetic-Sandals-33-724-20-40/dp/B07S1XVJRK/ref=sr_1_81?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-81
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-4-32-1070/dp/B08CRKQ4G8/ref=sr_1_82?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-82
Women's Gold Fashion Sandals - EURO40/UK7(34-9155-15-40),,,,https://www.amazon.in/Mochi-Women-Casual-Slip-Ons/dp/B01FO6TD5M/ref=sr_1_83?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-83
womens Footwear,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-6-32-681/dp/B083NJ8YKX/ref=sr_1_84?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-84
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-44-445/dp/B084THLL5Y/ref=sr_1_85?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-85
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-8-32-422/dp/B07P791RHD/ref=sr_1_86?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-86
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-8-33-743/dp/B08L5KDZX6/ref=sr_1_87?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-87
womens Outdoor Sandals,,,,https://www.amazon.in/Mochi-Womens-Outdoor-Sandals-6-33-351/dp/B084THB424/ref=sr_1_88?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-88
womens Fashion Sandals,,,,https://www.amazon.in/Mochi-Womens-Fashion-Sandals-5-40-2074/dp/B07S41Y432/ref=sr_1_89?dchild=1&keywords=Mochi+sandals&qid=1620019766&sr=8-89
